pl_name,[Mg/H],[Si/H],[Fe/H],M_star,M_star_err,R_star,R_star_err,Star_CMF,Planet Radius,Planet Mass,Planet CMF,rad,raderr1,raderr2,mass,masserr1,maserr2,Reference,rp/rs,rprs_err,K,K_err,e,e_err,inc,inc_err,Per,Per_err
HD_80653 b,0.21,0.29,0.26,1.12,0.03,1.24,0.04,,,,,1.613,0.071,-0.071,5.72,0.36,-0.35,Bonomo+23,0.0121,0.0004,3.55,0.26,0,0,82.1,2.4,0.719573,0.000021
HD_20329 b,0.23,0.10,0.00,0.94,0.04,1.06,0.03,,,,,1.72,0.07,-0.07,7.42,1.09,-1.09,Murgas+22,0.0139,0.0005,5.07,0.42,0,0,76.01,0.46,0.926118,0.000050
K2_131 b,-0.13,0.02,-0.10,0.80,0.02,0.74,0.01,,,,,1.69,0.085,-0.058,7.9,1.3,-1.3,Bonomo+23-Dai+19,0.02032,00076,6.55,1.48,0,0,85,10,0.3693038,0.0000091
K2_138 b,0.07,0.25,0.10,0.88,0.03,0.84,0.02,,,,,1.510,0.110,-0.084,3.10,1.05,-1.05,Lopez+19,0.016,0.00083,1.56,0.53,0,0,87.2,1.2,2.35309,0.00022
